,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
19,spectral,19,TRUE,4843,191,183,4,-0.6263854581426029,-1.628015933898268,0.37524501761306217,0.5542299659542814,0.5784585983457254,0.9362827506239793,0.9362827506239793,0.14370844832504343,0.14370844832504343,"4905, 25791, 3745, 23478"
20,spectral,20,TRUE,4843,191,72,2,-0.3672042135356152,-1.7803016401485454,1.0458932130773149,0.7043339150668994,1.8684413580246912,0.783935233874408,0.783935233874408,0.4546497718700568,0.4546497718700568,"1783, 64786"
22,spectral,22,TRUE,4843,191,287,9,-0.2509700221944999,-0.9311531758656222,0.4292131314766225,0.7951365452323185,0.5291675266180238,0.8086512041914017,0.8086512041914017,0.2949316192946398,0.2949316192946398,"392, 4140, 6536, 57502, 11311, 22905, 25921, 9779, 92521"
23,spectral,23,TRUE,4843,191,32,1,-0.24264486577536595,-2.2392852598429633,1.7539955282922315,0.7923756544502618,4.7294921875,0.725227493160121,0.725227493160121,0.6382024055209741,0.6382024055209741,57670
29,spectral,29,TRUE,4843,191,240,10,0.06035611422241618,-0.5899943030613295,0.7107065315061618,1.056500872600349,0.8407986111111111,0.4762920256891847,0.4762920256891847,0.6528598368007263,0.6528598368007263,"1813, 3163, 64101, 10100, 8448, 493856, 51075, 51308, 577, 94097"
34,spectral,34,TRUE,4843,191,106,4,-0.04690455707397096,-1.056582906004148,0.962773791856206,0.9568309789588068,1.7241011035955855,0.6077977063674687,0.6077977063674687,0.5926334766013593,0.5926334766013593,"65009, 10827, 9344, 9556"
35,spectral,35,TRUE,4843,191,32,2,0.4887855746724735,-0.9499675016416192,1.9275386509865662,1.5847513089005236,9.458984375,0.36179759447902593,0.36179759447902593,0.8697690545075218,0.8697690545075218,"23040, 23046"
36,spectral,36,TRUE,4843,191,4,1,2.098771060861989,-0.16908665269598178,4.36662877441996,6.3390052356020945,302.6875,0.14870742358016842,0.14870742358016842,0.9911909477652288,0.9911909477652288,140803
37,spectral,37,TRUE,4843,191,126,7,0.3709901492756476,-0.40541701702932537,1.1473973155806205,1.4086678301337987,2.1353615520282188,0.22817486921343763,0.22817486921343763,0.8768792224147128,0.8768792224147128,"9093, 5970, 7322, 7323, 8452, 8883, 63967"
38,spectral,38,TRUE,4843,191,26,3,1.1667722509402814,-0.045177979601071394,2.378722481481634,2.9256947241240434,21.492603550295858,0.08076510686483769,0.08076510686483769,0.9822576437634292,0.9822576437634292,"783, 7223, 9839"
39,spectral,39,TRUE,4843,191,33,2,0.45577937188542306,-0.9815375179408661,1.8930962617117122,1.536728541964144,8.894398530762167,0.376150469297028,0.376150469297028,0.8606719652000062,0.8606719652000062,"57795, 57476"
40,spectral,40,TRUE,4843,191,51,1,-0.724800806993321,-2.7096145803385223,1.2600129663518802,0.4971768812236937,1.8619761630142253,0.872925272948042,0.872925272948042,0.3960523272721064,0.3960523272721064,64219
43,spectral,43,TRUE,4843,191,271,8,-0.3153419536511156,-1.0341426721677973,0.4034587648655661,0.7485172233921292,0.5275527294018327,0.848330221536375,0.848330221536375,0.24823754151546448,0.24823754151546448,"4750, 8204, 9640, 57538, 1958, 399909, 51780, 9745"
47,spectral,47,TRUE,4843,191,122,4,-0.1961390491328864,-1.2032867716021696,0.8110086733363967,0.8313449489314223,1.3015318462778824,0.7164712626610883,0.7164712626610883,0.46937250065825104,0.46937250065825104,"6137, 6687, 55215, 152330"
52,spectral,52,TRUE,4843,191,309,10,-0.217734970110169,-0.8651258780871005,0.4296559378667624,0.8205832020196886,0.5072213319927524,0.7875542873954938,0.7875542873954938,0.3161763837978829,0.3161763837978829,"26505, 58155, 22891, 6733, 23451, 51474, 9858, 29789, 9651, 64478"
