,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
14,wt,14,TRUE,4843,191,423,18,0.08716122660511769,-0.4088407684030473,0.5831632216132827,1.0789796145705692,0.48719883305668726,0.4030995797395456,0.4030995797395456,0.6917202271336702,0.6917202271336702,"2923, 3163, 26505, 9093, 22891, 6733, 23451, 6687, 27044, 1958, 63967, 51474, 55215, 1636, 51780, 9858, 9839, 29789"
15,wt,15,TRUE,4843,191,33,4,1.2266890382670554,0.17111182338305642,2.2822662531510547,3.073457083928288,17.788797061524335,0.039260052417322,0.039260052417322,0.9912603575241807,0.9912603575241807,"23228, 23513, 9758, 54497"
16,wt,16,TRUE,4843,191,44,2,0.14971368320762884,-1.2762687540841526,1.5756961204994104,1.1525464064731081,5.003099173553719,0.5231555756904722,0.5231555756904722,0.7497274100648095,0.7497274100648095,"4695, 23438"
17,wt,17,TRUE,4843,191,31,1,-0.20963866298831554,-2.20731317002037,1.788035844043739,0.8179361594325284,5.039542143600416,0.713870308826337,0.713870308826337,0.6526753210826327,0.6526753210826327,8943
19,wt,19,TRUE,4843,191,283,8,-0.36269687163726094,-1.0810557534280045,0.35566201015348264,0.7167779771705548,0.4837618149808338,0.8793912284552529,0.8793912284552529,0.20458522876733987,0.20458522876733987,"4905, 6536, 63826, 25921, 381, 23478, 7812, 92521"
20,wt,20,TRUE,4843,191,18,1,0.36115406178325327,-1.660880616979855,2.383188740546361,1.4086678301337987,14.94753086419753,0.5159507430757291,0.5159507430757291,0.8430916183710121,0.8430916183710121,1630
24,wt,24,TRUE,4843,191,28,1,-0.10362928821828968,-2.1048616697937326,1.897603093357153,0.9055721765145849,6.177295918367347,0.6769204232968606,0.6769204232968606,0.696664349937386,0.696664349937386,6801
28,wt,28,TRUE,4843,191,3,1,2.5044512458609707,0.09957181064887344,4.909330681073068,8.452006980802793,538.1111111111111,0.11373283074381912,0.11373283074381912,0.995478155919362,0.995478155919362,23196
35,wt,35,TRUE,4843,191,7,1,1.4049783719418134,-0.7170283377204589,3.526985081604086,3.6222887060583395,98.83673469387755,0.2456041858471506,0.2456041858471506,0.9714916392760431,0.9714916392760431,2185
38,wt,38,TRUE,4843,191,74,2,-0.39581167640752174,-1.8083697314176717,1.0167463786026283,0.6852978633083345,1.7688093498904311,0.7966745204833205,0.7966745204833205,0.4358637628194211,0.4358637628194211,"9162, 9745"
44,wt,44,TRUE,4843,191,3,1,2.5044512458609707,0.09957181064887344,4.909330681073068,8.452006980802793,538.1111111111111,0.11373283074381912,0.11373283074381912,0.995478155919362,0.995478155919362,23293
52,wt,52,TRUE,4843,191,5,2,2.797195298522778,1.0020670057531798,4.592323591292376,10.14240837696335,387.44,0.014302065368812473,0.014302065368812473,0.9994304674662906,0.9994304674662906,"403, 79718"
53,wt,53,TRUE,4843,191,5,1,1.8108738652513703,-0.38526944823992326,4.007017178742664,5.071204188481675,193.72,0.18230876313300737,0.18230876313300737,0.9856979346311876,0.9856979346311876,2107
54,wt,54,TRUE,4843,191,16,1,0.48674861112876455,-1.5427227684960214,2.5162199907535503,1.5847513089005236,18.91796875,0.4752396556439261,0.4752396556439261,0.8706019687580926,0.8706019687580926,5119
56,wt,56,TRUE,4843,191,11,1,0.8932914216798505,-1.1674867133191196,2.954069556678821,2.3050928129462163,40.02479338842975,0.3579411931720896,0.3579411931720896,0.9326588829040499,0.9326588829040499,10690
