"ID"	"SCH"
7322	"Trubetskoy_broad_coding"
51441	"Trubetskoy_broad_coding"
127703	"Trubetskoy_broad_coding"
783	"Trubetskoy_broad_coding"
22864	"Trubetskoy_broad_coding"
23259	"Trubetskoy_broad_coding"
4978	"Trubetskoy_broad_coding"
25797	"Trubetskoy_broad_coding"
1143	"Trubetskoy_broad_coding"
9892	"Trubetskoy_broad_coding"
4236	"Trubetskoy_broad_coding"
