,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
20,spectral,20,TRUE,3026,132,39,3,0.6131583043401403,-0.5777944428999249,1.8041110515802055,1.7634032634032635,5.968441814595661,0.24067550229808143,0.24067550229808143,0.9122985813784409,0.9122985813784409,"4140, 56144, 1958"
24,spectral,24,TRUE,3026,132,12,2,1.489961135515157,-0.0383852938213729,3.018307564851687,3.8207070707070705,42.02777777777777,0.09365535392606301,0.09365535392606301,0.9866364707349582,0.9866364707349582,"7223, 9162"
25,spectral,25,TRUE,3026,132,26,1,-0.13235433208798744,-2.1388259102511764,1.8741172460752014,0.8817016317016316,4.476331360946745,0.6879459283961855,0.6879459283961855,0.685344268098862,0.685344268098862,9779
31,spectral,31,TRUE,3026,132,132,4,-0.3926086544946402,-1.403456746339649,0.6182394373503687,0.6946740128558311,0.6946740128558311,0.8380639836411549,0.8380639836411549,0.30743265581463897,0.30743265581463897,"4905, 10100, 63826, 3745"
34,spectral,34,TRUE,3026,132,51,1,-0.8342535377061661,-2.8214898005591924,1.1529827251468605,0.4494949494949495,1.1633986928104576,0.8991520412179674,0.8991520412179674,0.33956401311418594,0.33956401311418594,23019
35,spectral,35,TRUE,3026,132,81,6,0.5821269398543791,-0.2683668235784227,1.432620703287181,1.698092031425365,2.7672610882487425,0.13962663994324076,0.13962663994324076,0.9390412986313305,0.9390412986313305,"1838, 23368, 10529, 6687, 80212, 27132"
36,spectral,36,TRUE,3026,132,59,1,-0.9854904460955528,-2.9700594818106953,0.9990785896195896,0.3885464817668208,0.8692904337833955,0.929887392093429,0.929887392093429,0.26265033370924207,0.26265033370924207,22905
38,spectral,38,TRUE,3026,132,47,2,-0.026326425168048572,-1.4535853579017208,1.4009325075656236,0.9754996776273372,2.7397012222725214,0.615722988053012,0.615722988053012,0.6628110858886666,0.6628110858886666,"25843, 6801"
40,spectral,40,TRUE,3026,132,77,3,-0.12077304496557288,-1.2885011645686049,1.0469550746374592,0.8931523022432114,1.5311182324169337,0.6615985024344393,0.6615985024344393,0.5647127773031458,0.5647127773031458,"5096, 9344, 51441"
42,spectral,42,TRUE,3026,132,6,1,1.4840304648309832,-0.6701689048447865,3.638229834506753,3.8207070707070705,84.05555555555554,0.23496852489677333,0.23496852489677333,0.974759729960186,0.974759729960186,27044
43,spectral,43,TRUE,3026,132,139,3,-0.7515939430763673,-1.9091573886460336,0.4059695024932991,0.4947678221059516,0.4698514569639253,0.9484425095077602,0.9484425095077602,0.13371373752905835,0.13371373752905835,"51474, 29789, 9651"
44,spectral,44,TRUE,3026,132,186,8,-0.015708085538699366,-0.7465822885469128,0.715166117469514,0.9859889214727925,0.6997340733032721,0.571013330962607,0.571013330962607,0.5760694323105688,0.5760694323105688,"26505, 22978, 58155, 6733, 57795, 783, 23451, 64478"
46,spectral,46,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,64219
47,spectral,47,TRUE,3026,132,5,1,1.7075200967854356,-0.49080982936216055,3.9058500229330315,4.584848484848485,121.04,0.20001381575394683,0.20001381575394683,0.9826819910288889,0.9826819910288889,22891
49,spectral,49,TRUE,3026,132,50,3,0.3426733698744165,-0.8377497316872757,1.5230964714361086,1.3754545454545455,3.6311999999999998,0.37357988940901876,0.37357988940901876,0.8281222310944023,0.8281222310944023,"3831, 7322, 23046"
