"EntrezID_Human"	"go_name"
1173	"synapse (GO:0045202)"
1175	"synapse (GO:0045202)"
1175	"extrinsic component of presynaptic endocytic zone membrane (GO:0098894)"
1175	"synaptic vesicle endocytosis (GO:0048488)"
1175	"postsynaptic neurotransmitter receptor endocytosis (GO:0098884)"
8943	"synaptic vesicle budding from endosome (GO:0016182)"
8943	"neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)"
8943	"presynaptic endosome (GO:0098830)"
8943	"postsynapse (GO:0098794)"
8943	"presynapse (GO:0098793)"
320	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
320	"presynaptic active zone membrane (GO:0048787)"
320	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
321	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
322	"presynapse (GO:0098793)"
322	"synapse organization (GO:0050808)"
10297	"postsynapse (GO:0098794)"
51107	"integral component of presynaptic membrane (GO:0099056)"
334	"spine apparatus (GO:0097444)"
337	"synapse (GO:0045202)"
348	"regulation of synapse organization (GO:0050807)"
348	"synaptic cleft (GO:0043083)"
351	"regulation of presynapse assembly (GO:1905606)"
351	"neuronal dense core vesicle (GO:0098992)"
351	"presynaptic active zone (GO:0048786)"
26060	"postsynapse (GO:0098794)"
26060	"presynapse (GO:0098793)"
26060	"maintenance of synapse structure (GO:0099558)"
23237	"postsynaptic density membrane (GO:0098839)"
23237	"regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149)"
23237	"modulation of chemical synaptic transmission (GO:0050804)"
23237	"postsynaptic endosome (GO:0098845)"
375	"postsynaptic density (GO:0014069)"
375	"postsynaptic actin cytoskeleton organization (GO:0098974)"
378	"regulation of synapse organization (GO:0050807)"
378	"regulation of postsynapse organization (GO:0099175)"
382	"maintenance of postsynaptic density structure (GO:0099562)"
382	"regulation of presynapse assembly (GO:1905606)"
382	"synaptic vesicle endocytosis (GO:0048488)"
382	"presynapse (GO:0098793)"
382	"postsynapse (GO:0098794)"
55738	"synapse (GO:0045202)"
26286	"presynaptic endocytosis (GO:0140238)"
26286	"presynaptic active zone (GO:0048786)"
10564	"presynapse (GO:0098793)"
10564	"postsynapse (GO:0098794)"
58504	"regulation of postsynapse organization (GO:0099175)"
80728	"postsynapse organization (GO:0099173)"
80728	"postsynapse (GO:0098794)"
9912	"modulation of chemical synaptic transmission (GO:0050804)"
9912	"presynaptic active zone (GO:0048786)"
9912	"postsynaptic density (GO:0014069)"
9912	"regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)"
9912	"modification of postsynaptic structure (GO:0099010)"
396	"synapse (GO:0045202)"
396	"regulation of synaptic vesicle cycle (GO:0098693)"
22899	"postsynapse (GO:0098794)"
22899	"regulation of postsynapse assembly (GO:0150052)"
9181	"postsynapse (GO:0098794)"
9181	"postsynaptic density, intracellular component (GO:0099092)"
