alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
louvain,8,267,177,111,0.0509808735892048,0.0169936245297349,"3028, 10935, 2108, 10989, 1891, 2194, 10469, 506, 5164, 5924, 293, 1743, 509, 4715, 217, 4700, 1345, 5481, 55207, 3735, 4191, 6194, 4698, 2752, 114569, 3420, 5160, 9131, 26519, 23113, 26275, 1737, 11331, 1892, 515, 51079, 4513, 10452, 6342, 7385, 3329, 3295, 23521, 146223, 37, 3033, 10247, 8050, 3032, 3301, 3155, 5162, 81892, 2744, 8659, 9601, 5245, 9361, 3708, 3954, 127829, 1327, 539, 54927, 25813, 498, 7170, 767, 55735, 4706, 10651, 522, 513, 10102, 4722, 1329, 10455, 5163, 51067, 54205, 10965, 5718, 3030, 219, 3710, 10476, 1431, 23284, 23408, 8803, 4967, 4723, 114294, 6389, 55930, 5019, 10128, 4976, 2109, 1678, 5306, 1537, 6742, 6390, 38, 23597, 10632, 8518, 2110, 2746, 4697, 6229, 4728, 4725, 4720, 4726, 8604, 7388, 1340, 4729, 4719, 7384, 4702, 514, 4704, 83858, 29920, 28976, 29078, 26517, 30, 51, 84263, 83752, 3029, 6154, 6173, 3336, 205, 1632, 10449, 117145, 4724, 4695, 374291, 4942, 50, 50808, 94081, 7386, 9377, 7416, 84303, 26520, 55848, 8802, 9868, 9590, 9551, 9054, 8938, 54704, 617, 81533, 6228, 56925, 80222, 10814, 16, 4648, 9652, 9162, 4705, 760, 92259, 55967, 1347"
louvain,13,40,2,110,0.0521518387479254,0.0086919731246542,"5042, 525"
louvain,3,363,236,111,0.136779926612257,0.0227966544353762,"351, 3146, 3320, 1615, 2058, 7249, 53616, 7534, 2561, 7531, 7529, 7532, 10971, 7533, 1072, 5894, 1495, 5058, 4645, 815, 708, 529, 348, 1191, 5869, 4915, 4217, 2810, 22800, 5315, 5305, 9588, 91404, 1471, 226, 8476, 10627, 88, 5515, 2950, 4140, 3921, 3728, 3039, 10724, 4714, 6853, 23162, 5601, 6142, 4141, 5127, 4734, 23265, 445, 87, 6531, 57554, 2697, 2915, 5582, 26355, 6622, 1499, 81565, 1020, 476, 4641, 5605, 5037, 4137, 4134, 1509, 4155, 2596, 7248, 5580, 5066, 7001, 5594, 22999, 801, 808, 5599, 817, 5864, 6812, 2931, 2, 2271, 5595, 6201, 55611, 23321, 775, 6009, 5581, 10910, 2288, 4082, 126003, 11140, 54536, 9578, 5602, 4627, 3326, 11346, 774, 773, 3339, 7407, 347733, 7102, 10728, 128, 156, 10810, 1983, 2617, 427, 5578, 5609, 6156, 10383, 373156, 6135, 7295, 11033, 3925, 2768, 814, 816, 10564, 2562, 55832, 1453, 103910, 1974, 286, 116988, 2011, 10376, 57521, 5604, 8567, 1428, 4644, 5536, 488, 10672, 6710, 8650, 30000, 53822, 5912, 9911, 4133, 10612, 22841, 81, 11130, 286205, 230, 534, 203068, 2890, 818, 10235, 2918, 253959, 6130, 115098, 309, 5550, 4916, 6326, 22843, 23154, 399687, 6207, 5144, 6854, 7402, 57787, 4900, 2287, 2554, 5579, 57551, 7345, 2566, 5526, 6164, 8682, 89910, 5236, 537, 5707, 2555, 9211, 10396, 3376, 966, 9550, 9446, 3043, 8997, 80727, 9545, 762, 5538, 6205, 6900, 79012, 1917, 6897, 9352, 8239, 84617, 4139, 9922, 27095, 8473, 5121, 55754, 283450, 9371, 718, 7881, 90580, 93185, 84446, 9024, 9520, 59283"
louvain,11,234,155,111,0.154811269641601,0.0258018782736002,"6616, 8773, 10550, 954, 10675, 6804, 10228, 2010, 527, 5576, 1410, 4905, 8575, 5660, 3163, 112476, 10490, 2170, 10313, 26276, 23204, 6513, 58533, 6857, 10059, 23230, 8675, 5213, 11230, 55177, 5354, 4000, 535, 22908, 54732, 5211, 6844, 10423, 2823, 10857, 6642, 23770, 112755, 23673, 116841, 10100, 6643, 11332, 6843, 23786, 63908, 528, 8448, 30845, 7187, 23233, 56947, 56895, 2572, 493856, 219738, 57709, 53826, 157378, 444, 10424, 59353, 51075, 4259, 51308, 127833, 1727, 9283, 192683, 11112, 23788, 2912, 51286, 5780, 51024, 5577, 56894, 9341, 63826, 2824, 133121, 54332, 378, 7920, 54940, 6855, 80221, 7781, 5007, 114876, 2817, 3098, 9218, 10815, 3099, 80331, 6529, 140679, 7284, 9554, 7417, 134957, 292, 6138, 10497, 9342, 975, 9143, 224, 11343, 483, 23256, 84448, 89941, 56993, 64423, 6185, 23065, 9804, 80777, 9217, 54996, 223, 5110, 8417, 8723, 79641, 7018, 63894, 8775, 8760, 57406, 51025, 9515, 64083, 50804, 9854, 9524, 8834, 94097, 950, 9145, 91663, 91137, 80333, 55326, 7419, 83449, 91683, 81855"
louvain,5,292,128,101,0.182583695130913,0.0304306158551522,"1756, 2274, 5310, 1674, 41, 57670, 6747, 7916, 5493, 9146, 1080, 10142, 7276, 1523, 57658, 11170, 29062, 386618, 60491, 4591, 26003, 6271, 56243, 57596, 6990, 5932, 22978, 5300, 9513, 51160, 10021, 8851, 84445, 58497, 5571, 23384, 282974, 140710, 129807, 375056, 1488, 5562, 7247, 5565, 3507, 5630, 154796, 6386, 10645, 23527, 5317, 54828, 115948, 3281, 8664, 5563, 6050, 358, 200081, 2039, 79959, 23254, 133746, 2800, 23503, 55698, 26051, 6687, 57132, 8030, 115817, 11178, 55346, 23294, 8087, 2239, 51534, 401647, 3861, 79711, 60484, 51101, 22885, 154043, 1665, 9605, 221424, 57019, 26515, 783, 9798, 5654, 132299, 2899, 8243, 10763, 51555, 55619, 65268, 65078, 2897, 10587, 85456, 10499, 823, 176, 6683, 257160, 7750, 8443, 9612, 23500, 9853, 9632, 9898, 874, 22911, 9265, 51412, 4619, 80017, 388695, 9775, 64599, 54994, 54873, 9585, 201625"
louvain,4,364,235,111,0.210118560837057,0.0350197601395096,"1837, 2923, 22895, 6548, 3265, 2475, 5898, 322, 57403, 55824, 7905, 5362, 4684, 1804, 4685, 4099, 4340, 5621, 3897, 334, 375, 9379, 9369, 4301, 4478, 1173, 392, 5097, 23705, 5861, 9990, 6558, 682, 27131, 961, 55845, 2037, 6184, 11316, 1915, 4356, 5216, 10397, 3703, 4190, 4893, 1314, 11031, 9230, 5867, 6195, 1731, 23157, 1315, 140885, 9253, 7163, 7165, 59338, 10640, 5413, 23176, 4067, 6708, 6709, 3845, 26056, 5908, 9475, 10801, 346288, 55752, 10211, 50488, 6786, 57524, 219771, 51466, 1267, 150209, 382, 5910, 23236, 3895, 6711, 3419, 6155, 1000, 30844, 55738, 338, 5447, 7430, 10970, 27347, 5818, 1465, 301, 23646, 10381, 118, 5297, 989, 23348, 10768, 2036, 120, 115, 10938, 5906, 821, 51062, 57488, 1500, 3482, 10652, 151011, 6252, 55964, 8573, 4355, 284069, 4735, 5860, 2686, 53916, 5414, 51678, 145567, 23052, 54769, 57826, 55327, 255057, 51706, 144402, 57460, 10056, 5333, 10493, 57553, 11069, 403, 9448, 6647, 55847, 5923, 9368, 6507, 23197, 6861, 160, 6305, 114882, 5064, 112, 6152, 253559, 51097, 2319, 6624, 4430, 6143, 132001, 2181, 6566, 6520, 10752, 6712, 5364, 377, 8502, 10067, 4756, 7109, 1456, 9522, 51552, 10159, 25921, 116987, 490, 65108, 119, 23603, 5872, 5361, 255252, 27020, 10160, 219287, 57482, 57609, 23344, 23382, 2182, 26090, 4763, 285172, 22979, 10554, 471, 5593, 4978, 57498, 8402, 6515, 9694, 5911, 9789, 85440, 8036, 8825, 80856, 7447, 5874, 83660, 8776, 493, 9066, 92255, 8140, 7879, 8774, 83696, 57446, 6509, 5099, 57465, 8613, 79143, 57512, 84293, 56255, 56907"
sgG1,10,426,287,111,0.0029807747451627,0.0004967957908604,"6548, 6616, 3265, 2475, 5898, 5573, 8773, 55824, 10550, 7905, 954, 6804, 5362, 4684, 3897, 10228, 375, 2010, 4478, 5097, 23705, 5861, 6558, 23647, 682, 27131, 961, 527, 55845, 63916, 2037, 6184, 11316, 4905, 4140, 10397, 3703, 3163, 4893, 1314, 112476, 10490, 2170, 6195, 10313, 23157, 1315, 57142, 140885, 23204, 9253, 7163, 7165, 59338, 114569, 5413, 23176, 58533, 11315, 6708, 6709, 6857, 3845, 9648, 5870, 8675, 10801, 346288, 55752, 10211, 50488, 6786, 57524, 219771, 51466, 10314, 11230, 1267, 382, 57502, 23236, 6711, 55177, 5354, 4000, 535, 6155, 22908, 30844, 55738, 146223, 338, 5447, 6844, 1465, 23646, 10381, 10423, 118, 2823, 10857, 5297, 989, 10768, 6642, 120, 115, 286, 10938, 821, 57521, 51062, 11311, 112755, 23673, 116841, 214, 57488, 6710, 10100, 1500, 6643, 3482, 10652, 151011, 6252, 6843, 23786, 284069, 4735, 63908, 5860, 528, 30845, 2686, 7187, 5414, 56947, 56895, 145567, 23052, 2572, 57826, 493856, 219738, 57709, 53826, 157378, 10424, 59353, 51075, 286205, 51308, 127833, 1727, 255057, 9283, 192683, 11112, 23788, 2912, 51286, 5780, 51706, 56894, 144402, 9341, 2824, 57460, 54332, 5333, 7920, 6855, 10493, 80221, 7781, 2817, 57553, 9218, 403, 9448, 6647, 55847, 5923, 9368, 10815, 6507, 80331, 23197, 6861, 6529, 140679, 6305, 114882, 5064, 112, 9554, 51097, 2319, 134957, 6143, 132001, 2181, 6566, 6520, 10497, 10752, 6712, 5364, 9342, 377, 975, 10067, 4756, 1456, 9143, 9522, 10159, 25921, 9732, 116987, 11343, 23362, 11336, 490, 84448, 65108, 119, 23603, 5872, 5361, 255252, 27020, 10160, 219287, 23065, 23344, 80777, 9217, 2182, 26090, 4763, 285172, 22979, 10554, 8417, 8723, 7018, 57498, 6515, 9694, 8775, 9495, 5911, 8760, 9789, 738, 51025, 9515, 64083, 80856, 7447, 9854, 9524, 8834, 94097, 950, 9145, 91663, 91137, 83660, 8776, 493, 9066, 8140, 57446, 6509, 5099, 57465, 8613, 79143, 57512, 91683, 84293, 56255, 81855, 56907"
sgG1,22,126,66,101,0.0054098662185881,0.0009016443697646,"23129, 142, 394, 25873, 3066, 23287, 3836, 23633, 23090, 121504, 26230, 11335, 11127, 8349, 5903, 55636, 3014, 10075, 79026, 3839, 64854, 28992, 5917, 8359, 6324, 3009, 10788, 440, 57716, 3024, 3005, 6904, 222950, 8342, 166785, 23047, 22907, 6329, 6840, 1828, 129684, 57496, 22865, 10527, 51673, 50809, 85235, 55140, 23269, 752, 57680, 6334, 64743, 9847, 91833, 9737, 9031, 79747, 84643, 387597, 84364, 5980, 84896, 3908, 8632, 7368"
sgG1,3,333,155,101,0.0060626708965118,0.0010104451494186,"10605, 1975, 1981, 3276, 5093, 2547, 3842, 7916, 6210, 1994, 4297, 55729, 1009, 23420, 3315, 10142, 9584, 1434, 11051, 11100, 546, 22927, 4841, 10155, 22985, 4733, 4673, 6601, 4857, 4869, 386618, 11052, 2130, 158471, 10016, 5725, 9513, 10432, 7112, 54880, 7158, 1965, 2314, 8661, 6597, 3476, 6159, 6224, 55740, 5591, 23229, 3069, 2332, 6426, 56252, 4691, 4008, 26229, 27339, 9667, 5192, 58525, 1108, 10250, 11168, 57689, 6733, 6428, 9444, 6434, 51645, 10767, 3185, 23527, 27247, 26130, 134492, 4204, 10290, 553115, 5610, 8087, 3608, 55506, 8341, 1665, 57019, 115207, 22891, 6418, 55269, 23451, 23417, 6147, 6209, 345651, 6741, 51755, 4926, 6238, 125113, 51366, 3832, 3609, 1993, 51474, 9343, 5430, 7520, 261726, 8450, 57221, 3948, 23215, 64848, 9733, 57520, 81846, 6599, 6634, 24137, 9898, 9320, 9774, 6227, 6234, 55324, 25836, 79187, 84628, 9208, 8570, 23367, 9967, 9987, 80028, 53918, 339122, 8539, 349667, 84532, 63875, 9555, 4076, 6738, 9651, 64478, 8504, 343990, 63929, 90957, 28316, 833, 64210, 8562"
sgG1,1,242,113,101,0.0265030584749476,0.0044171764124912,"2060, 10133, 23163, 10043, 3646, 1642, 26994, 10980, 10987, 133957, 10755, 81631, 5498, 3092, 7314, 2901, 23761, 79735, 54505, 2873, 55229, 55198, 8027, 6921, 4624, 7337, 1155, 7874, 23072, 23365, 8454, 79837, 9040, 3636, 23542, 23376, 7321, 7322, 22954, 27034, 57169, 6218, 196403, 29, 2548, 25777, 6232, 9958, 8237, 23224, 5153, 178, 5783, 91010, 27072, 26286, 8826, 54726, 23201, 55698, 84959, 55521, 29978, 8453, 55040, 55680, 2235, 3015, 221061, 25989, 51065, 90678, 8411, 8451, 8452, 64219, 3268, 51028, 23061, 55236, 22930, 2900, 9097, 80142, 161725, 9978, 23255, 132864, 23074, 23355, 221092, 57619, 713, 8533, 8887, 8975, 9620, 79699, 2794, 8663, 80700, 8455, 6169, 487, 8799, 9455, 9373, 84502, 9267, 154810, 79870, 54954, 9380"
sgG1,7,10,10,111,0.0363996643374418,0.0060666107229069,"10093, 10094, 6191, 10092, 10097, 10096, 10109, 57180, 81873, 4048"
