alg,cl,Cn,Mu,FL,padj,overlapGenes
louvain,1,537,124,DOID:5419,5.71923270752887e-08,"1759, 2887, 2885, 6456, 4842, 9863, 1956, 1742, 2066, 1741, 9228, 55824, 10675, 2934, 259217, 50618, 5362, 23026, 57556, 10580, 815, 4035, 6457, 58512, 1739, 4130, 4915, 1499, 19, 2903, 2904, 2905, 2906, 5786, 5793, 5803, 26354, 394, 9644, 2534, 3190, 6311, 6853, 25791, 335, 4190, 5478, 10949, 23136, 6092, 3183, 50944, 9223, 9699, 2894, 2915, 57555, 2902, 58155, 2023, 177, 7422, 1948, 85358, 5530, 5588, 114784, 22999, 2550, 2242, 9378, 575, 6812, 3697, 9456, 4643, 57030, 9826, 7052, 57502, 3843, 9743, 1128, 5730, 2263, 2935, 7295, 5532, 5534, 116987, 1501, 9444, 9229, 2047, 26578, 348980, 56899, 8777, 51678, 5533, 81832, 2977, 6641, 321, 51434, 8831, 9472, 2674, 8502, 1993, 5286, 9732, 873, 7057, 9568, 84152, 9900, 85439, 3700, 6451, 9722, 57476, 57605, 266727"
louvain,1,537,51,DOID:12849,1.20020390052905e-07,"1821, 4915, 10458, 1499, 2903, 2904, 1009, 22871, 2906, 5786, 26354, 1523, 9644, 5747, 6853, 25791, 22941, 2915, 2023, 3791, 7422, 2321, 6714, 491, 85358, 2550, 9378, 3697, 9456, 57502, 116987, 56899, 51678, 64130, 163259, 952, 8831, 1769, 6134, 6792, 1993, 9732, 7057, 4897, 9568, 84152, 3766, 3751, 18, 3700, 9722"
louvain,1,537,51,DOID:0060041,1.32997410733554e-07,"1821, 4915, 10458, 1499, 2903, 2904, 1009, 22871, 2906, 5786, 26354, 1523, 9644, 5747, 6853, 25791, 22941, 2915, 2023, 3791, 7422, 2321, 6714, 491, 85358, 2550, 9378, 3697, 9456, 57502, 116987, 56899, 51678, 64130, 163259, 952, 8831, 1769, 6134, 6792, 1993, 9732, 7057, 4897, 9568, 84152, 3766, 3751, 18, 3700, 9722"
louvain,1,537,58,DOID:3312,2.12437965849175e-05,"3688, 4842, 9863, 1956, 2066, 2934, 23037, 57556, 4915, 1499, 2903, 2904, 26354, 5290, 394, 9644, 2534, 25791, 3183, 9223, 2915, 2902, 54039, 2023, 2247, 1948, 5588, 575, 3697, 1000, 3815, 4643, 57030, 1002, 5730, 2263, 1501, 54014, 56899, 51678, 6641, 9472, 8842, 1993, 5286, 7057, 8525, 8867, 966, 84152, 90134, 3700, 64072, 6451, 94134, 9722, 27255, 266727"
louvain,4,502,24,DOID:12858,2.58934172148823e-05,"2475, 207, 1432, 4217, 2932, 3308, 4137, 5566, 1386, 1020, 472, 317, 5599, 10135, 8851, 5595, 5602, 10891, 6794, 4133, 501, 3710, 116443, 57338"
louvain,4,502,56,DOID:10763,2.58934172148823e-05,"2475, 207, 7249, 10971, 1432, 3984, 387, 65125, 10987, 23327, 5594, 1471, 5879, 1114, 81631, 481, 3039, 396, 3308, 3757, 2873, 4627, 5728, 7074, 5037, 1509, 65266, 253260, 5599, 27347, 10135, 350, 8851, 5595, 7054, 11346, 2879, 10891, 2244, 3611, 3305, 54897, 4282, 361, 2152, 7222, 5654, 5338, 6521, 5144, 115557, 2629, 644, 7511, 7412, 5121"
louvain,1,537,85,DOID:10652,7.6433968012698e-05,"1785, 8470, 3688, 4842, 3667, 1956, 322, 1742, 2066, 2934, 23026, 815, 4035, 1994, 334, 4915, 1499, 274, 6453, 23607, 19, 2903, 2904, 9844, 5290, 9821, 6655, 2534, 5747, 4860, 4043, 6853, 1123, 335, 10658, 26060, 8440, 9223, 2915, 2902, 2023, 10659, 177, 3791, 7422, 9479, 6714, 5530, 1795, 2550, 25924, 6812, 1000, 9456, 57030, 3240, 7052, 6772, 23504, 1128, 3339, 5730, 7295, 5534, 1501, 8522, 6428, 9229, 2185, 30818, 4440, 3075, 321, 4353, 102, 2674, 823, 8867, 8754, 3738, 29934, 5445, 718, 6653, 8936"
louvain,1,537,54,DOID:1826,9.93110574750585e-05,"1759, 4842, 9863, 3667, 1956, 1740, 3736, 2934, 4915, 3643, 9693, 10188, 2903, 2904, 9138, 3704, 2261, 6853, 160622, 2915, 2902, 23287, 610, 23114, 2550, 9378, 6812, 3778, 9826, 3240, 382, 8976, 4509, 178, 2185, 348980, 3737, 30818, 10276, 56666, 8831, 1130, 8842, 6792, 823, 63971, 9568, 9900, 3766, 3751, 18, 718, 6900, 83660"
louvain,9,120,11,DOID:9255,0.0020910777826626,"5663, 351, 348, 5621, 2026, 7001, 4846, 10549, 257194, 5226, 93185"
louvain,9,120,14,DOID:2377,0.0021148576561028,"351, 348, 1804, 4340, 5621, 11140, 5864, 2, 4846, 54536, 284119, 6444, 6888, 5226"
