
-----------------------------------------
 alg    C     Cn     Crob     CrobScaled
 wt    114    3        0          0

 wt    115    3     0.2667      0.5333

 wt    116    2        0          0

 wt    117    3     0.2333      0.4667

 wt    118    3        0          0

 wt    119    2        0          0

 wt    120    2        0          0

 wt    121    4        0          0

 wt    122    3     0.08333     0.1667

 wt    123    4     0.1167      0.2333

 wt    124    3        0          0

 wt    125    2       0.4        0.8

 wt    126    2        0          0

 wt    127    2        0          0

 wt    128    3        0          0

 wt    129    3     0.06667     0.1333

 wt    130    2        0          0

 wt    131    3     0.1111      0.2222

 wt    132    2      0.25        0.5

 wt    133    2        0          0

 wt    134    2        0          0

 wt    135    2        0          0

 wt    136    2        0          0

 wt    137    2        0          0

 wt    138    2        0          0

 wt    139    2        0          0

 wt    140    2        0          0

 wt    141    3        0          0

 wt    142    2        0          0

 wt    143    2        0          0

 wt    144    2        0          0

 wt    145    2        0          0

 wt    146    2        0          0

 wt    147    2      0.25        0.5

 wt    148    2        0          0

 wt    149    2        0          0

 wt    150    2        0          0

 wt    151    3        0          0

 wt    152    2        0          0

 wt    153    2        0          0

 wt    154    2        0          0

 wt    155    2        0          0

 wt    156    2        0          0

 wt    157    2       0.2        0.4

 wt    158    2        0          0

 wt    159    2        0          0

 wt    160    2        0          0

 wt    161    2      0.25        0.5

 wt    162    2        0          0

 wt    163    5      0.145       0.29

 wt    164    2        0          0

 wt    165    2        0          0

 wt    166    2        0          0

 wt    167    2      0.25        0.5

 wt    168    2        0          0

 wt    169    2        0          0

 wt    170    2        0          0

 wt    171    2        0          0

 wt    172    2        0          0

 wt    173    2        0          0

 wt    174    2      0.25        0.5

 wt    175    2       0.2        0.4

 wt    176    2        0          0

 wt    177    2        0          0

 wt    178    2      0.25        0.5

 wt    179    2        0          0

 wt    180    2        0          0

 wt    181    2        0          0

 wt    182    2        0          0

 wt    183    2        0          0

 wt    184    1        0          0

 wt    185    1        0          0

 wt    186    1        0          0

 wt    187    1        0          0

 wt    188    1        0          0

 wt    189    1        0          0

 wt    190    1        0          0

 wt    191    1        0          0

 wt    192    1        0          0

 wt    193    1        0          0

 wt    194    1        0          0

 wt    195    1        0          0

 wt    196    1        0          0

 wt    197    1        0          0

 wt    198    1        0          0

 wt    199    1        0          0

 wt    200    1        0          0

 wt    201    1        0          0

 wt    202    1        0          0

 wt    203    1        0          0

 wt    204    1        0          0

 wt    205    1        0          0

 wt    206    1        0          0

 wt    207    1        0          0

 wt    208    1        0          0

 wt    209    1        0          0

 wt    210    1        0          0

 wt    211    1        0          0

 wt    212    1        0          0

 wt    213    1        0          0

 wt    214    1        0          0

 wt    215    1        0          0

 wt    216    1        0          0

 wt    217    1        0          0

 wt    218    1        0          0

 wt    219    1        0          0

 wt    220    1        0          0

 wt    221    1        0          0

 wt    222    1        0          0

 wt    223    1        0          0

 wt    224    1        0          0

 wt    225    1        0          0

 wt    226    1        0          0

 wt    227    1        0          0

 wt    228    1        0          0

 wt    229    1        0          0

 wt    230    1        0          0

 wt    231    1        0          0

 wt    232    1        0          0

 wt    233    1        0          0

 wt    234    1        0          0

 wt    235    1        0          0

 wt    236    1        0          0

 wt    237    1        0          0

 wt    238    1        0          0

 wt    239    1        0          0

 wt    240    1        0          0

 wt    241    1        0          0

 wt    242    1        0          0

 wt    243    1        0          0

 wt    244    1        0          0

 wt    245    1        0          0

 wt    246    1        0          0

 wt    247    1        0          0

 wt    248    1        0          0

 wt    249    1        0          0

 wt    250    1        0          0

 wt    251    1        0          0

 wt    252    1        0          0

 wt    253    1        0          0

 wt    254    1        0          0

 wt    255    1        0          0

 wt    256    1        0          0

 wt    257    1        0          0

 wt    258    1        0          0

 wt    259    1        0          0

 wt    260    1        0          0

 wt    261    1        0          0

 wt    262    1        0          0

 wt    263    1        0          0

 wt    264    1        0          0

 wt    265    1        0          0

 wt    266    1        0          0

 wt    267    1        0          0

 wt    268    1        0          0

 wt    269    1        0          0

 wt    270    1        0          0

 wt    271    1        0          0

 wt    272    1        0          0

 wt    273    1        0          0

 wt    274    1        0          0

 wt    275    1        0          0

 wt    276    1        0          0

 wt    277    1        0          0

 wt    278    1        0          0

 wt    279    1        0          0

 wt    280    1        0          0

 wt    281    1        0          0

 wt    282    1        0          0

 wt    283    1        0          0

 wt    284    1        0          0

 wt    285    1        0          0

 wt    286    1        0          0

 wt    287    1        0          0

 wt    288    1        0          0

 wt    289    1        0          0

 wt    290    1        0          0

 wt    291    1        0          0

 wt    292    1        0          0

 wt    293    1        0          0

